Longitude,Latitude,label,cluster_id,fold,mod_label
-87.8145,15.394108,presence,18,4.0,1
-88.035622,15.498017,presence,18,4.0,1
-87.4493,15.7798,presence,18,4.0,1
-87.3664,13.599441,presence,18,4.0,1
-88.11,14.08,presence,18,4.0,1
-88.233118,15.134273,presence,18,4.0,1
-87.954197,15.608158,presence,18,4.0,1
-88.232803,14.924881,presence,18,4.0,1
-87.990932,15.313989,presence,18,4.0,1
-87.2596,14.169,presence,18,4.0,1
-87.217194,14.060883,presence,18,4.0,1
-87.029243,14.260473,presence,18,4.0,1
-87.990723,15.474648,presence,18,4.0,1
-86.5,15.0,presence,18,4.0,1
-87.216667,14.133333,presence,18,4.0,1
-87.216667,14.1,presence,18,4.0,1
-87.01667,14.033333,presence,18,4.0,1
-16.033,12.069,presence,37,8.0,1
-10.744,10.039,presence,13,7.0,1
-61.591036,10.690297,presence,9,8.0,1
-61.583576,10.714249,presence,9,8.0,1
-61.466367,10.650106,presence,9,8.0,1
-61.466578,10.166644,presence,9,8.0,1
-61.532518,10.674462,presence,9,8.0,1
-61.383026,10.633362,presence,9,8.0,1
-61.497499,10.658288,presence,9,8.0,1
-61.518584,10.665486,presence,9,8.0,1
-61.438751,10.736175,presence,9,8.0,1
-61.232758,10.779348,presence,9,8.0,1
-61.620026,10.709189,presence,9,8.0,1
-61.46,10.28,presence,9,8.0,1
-61.371,10.269,presence,9,8.0,1
-61.296,10.202,presence,9,8.0,1
-61.459158,10.247718,presence,9,8.0,1
-61.418,10.232,presence,9,8.0,1
-60.666672,11.25,presence,9,8.0,1
-61.091114,10.604276,presence,9,8.0,1
-61.416668,10.45,presence,9,8.0,1
-61.307804,10.330744,presence,9,8.0,1
-61.583332,10.083333,presence,9,8.0,1
-61.434,10.269,presence,9,8.0,1
-61.361629,10.551356,presence,9,8.0,1
-61.383022,10.517159,presence,9,8.0,1
-61.366,10.5299,presence,9,8.0,1
-61.317,10.266,presence,9,8.0,1
-61.3784,10.2681,presence,9,8.0,1
-61.4043,10.5202,presence,9,8.0,1
-61.334,10.5796,presence,9,8.0,1
-58.157044,6.795535,presence,9,8.0,1
-59.801166,3.37574,presence,9,8.0,1
-59.5,3.0,presence,9,8.0,1
-63.020831,18.08742,presence,33,9.0,1
-63.030975,18.102415,presence,33,9.0,1
-61.681738,15.989715,presence,9,8.0,1
-61.263313,15.925016,presence,9,8.0,1
-61.725646,15.998749,presence,9,8.0,1
-63.036035,18.069452,presence,33,9.0,1
-64.53,18.45,presence,33,9.0,1
-155.986,20.752,presence,30,10.0,1
-99.493,27.511,presence,23,3.0,1
-99.510269,27.514361,presence,23,3.0,1
-99.507545,27.506407,presence,23,3.0,1
-81.779987,24.555059,presence,24,9.0,1
-80.936996,25.313,presence,24,9.0,1
-97.497,25.907,presence,23,3.0,1
-97.409,27.766,presence,23,3.0,1
-80.533112,25.61705,presence,24,9.0,1
120.98,14.6,presence,17,6.0,1
120.5501,15.1832,presence,17,6.0,1
125.0736,7.9216,presence,43,7.0,1
125.606503,7.105833,presence,43,7.0,1
121.06812,14.701422,presence,17,6.0,1
124.99752,11.244409,presence,42,7.0,1
125.120316,8.129929,presence,43,7.0,1
121.514168,18.398836,presence,17,6.0,1
120.830154,16.505883,presence,17,6.0,1
120.884514,15.361667,presence,17,6.0,1
120.993404,14.444987,presence,17,6.0,1
120.994821,14.704327,presence,17,6.0,1
120.800056,15.39146,presence,17,6.0,1
120.985197,14.642012,presence,17,6.0,1
122.483211,10.880005,presence,42,7.0,1
120.78,16.86,presence,17,6.0,1
121.050493,14.516394,presence,17,6.0,1
121.013446,14.696606,presence,17,6.0,1
120.966124,14.621063,presence,17,6.0,1
120.984743,14.674646,presence,17,6.0,1
120.963063,14.690878,presence,17,6.0,1
123.279247,9.296968,presence,42,7.0,1
122.96093,10.644412,presence,42,7.0,1
121.002975,14.590146,presence,17,6.0,1
119.981575,16.16258,presence,17,6.0,1
120.844059,15.501657,presence,17,6.0,1
121.142263,15.629484,presence,17,6.0,1
120.974178,15.484783,presence,17,6.0,1
121.051111,15.602536,presence,17,6.0,1
120.900021,15.267294,presence,17,6.0,1
